	sender	me
251	ok den brhka tis skhnes sth kabala den xerw pou einai exoume alles 	prepei na exw k egw mia
255	wraia des to shmera an mporeis na doume an exoume telika tha fygoume tetarth prwi etsi 	dn exoume milhsei me kanenan
259	ok	mixalhs missed your call .
264	eee ta lefta gia to prostimo den sou ta edwsa etsi 	oxi
266	komple to apogeuma tha bgeis esy h tha katseis spiti 	twra einai h wra
272	egw me mario kai tsoulh de mpar kai feugoume se ligo kamia bolta kaseris karakobas kr mpota	baggelhs sabbas brethhkan 
275	o baggelhs eipe otan fygoume apo edw na milhsoume o sabbas den xerw mporei o marios kai o tsoulhs einai ma brethoun	pes ton tsoulh
282	efage goodys thes na milhseis me sabba kai zanh na deis an bgoun 	sabbas einai me lena
287	kala emeis kanoume twra gyres sto xwrio	o tsoulhs
291	o baggelhs leei mporei na bgei de ligo kateba kai	katebainw
296	 tis phres 	mai
300	se rwtouse ki esena o mpatsos malakies h mono emena 	oxi
303	to anoixes na mazepseis ta kalwdia 	na to katharisw
305	axaxxaxaxa tha kanoume kana fou h eimaste giaallh fash 	ti thes na pieis ?
308	ko	dn mporeis
310	ti tha kanoume gia pou eimaste nai gia magazi eimaste h aragma exw you missed a call from mixalhs . eee exeis kamia idea gia auto https merchants .skroutz .gr merchants support guidelines products feed nai exoume e shop kai thelw na mpw sto skroutz ola zhtaei xml file kai den xerw pws to kaneis sto youtube eida oti bazeis ena plugin sto account pou exeis thn istoselida kai kati tetoia etsi katalaba egw den xerw	 ?xml version . encoding utf ? mywebstore created at created at products product id id name ! cdata converse all star chuck taylor ox name link ! cdata https www .mywebstore .co .uk product link image ! cdata https www .mywebstore .co .uk product .jpg image additionalimage ! cdata https www .mywebstore .co .uk product front .jpg additionalimage category ! cdata outdor sneakers category price with vat . price with vat manufacturer ! cdata converse manufacturer mpn m c mpn ean ean instock n instock availability delivery to days availability size . size weight weight color white color description the chuck taylor all star is one of the most iconic sneakers of all ages . it is a unique design with a classic and comfortable fit in white color with durable non slip exterior rubber sole . it is an ideal piece for all kinds of appearances . description product . . . . . . . . . products mywebstore 
334	dhladh auto me to plugin den paizei etsi giati an px egw pro onta auto einai poutsa	isxuei
341	den exw idea pws to ekane exw pantws thn selida pou mpaineis kai diaxeirizesai tis paraggelies klp	einai kapws etsi ekei pou eisai ?
344	paizei . . .otan anebw sto grafeio tha sou steilw fwtografo apo ton ypologisth etsi akribws den einai sigoura alla moiazei	wix lol
347	ti fash einai auto 	ftixneis site san to wordpress me etoima templates
357	ok tha to dw twra ama einai	https www .youtube .com watch ?v jumqpumaha ab channel knowledgebymarcus
360	to ekana export se csv twra tha to kano convert les na doulepsei ?	prepei omws na ginei convert
367	twra mphka na to kanw auta ti einai 	to encode to grammtwn
370	na to afhsw default ?	utf tha thelei
375	pena na peiraxw tpt edw se auta 	nai twra edw thelei na valeis auta pou leei to skroutz
382	kala ama den bgalw akrh tha se pw an pshnesai kamia mera na to kanoume	mporeis ama thes na me to steileis to csv
386	oxi re den biazomai exei kana mhna pou lew auton pou mas ekane to e shop n .a . to kanei kai twra thymhthhke na me peiboti den xerei na to kanei . . . na sou steilw to ssb 	logika tha einai megalo valto se google drive kai steile link
390	mikro einai den exoume akoma polla pro onta sto sait	ama dw oti thelei xrono tha to kanw th pempth gt dinw tetarth
393	nai re opote mporeis an thes kamia allh mera pou den tha exeis tpt na erthw na to kanoume katw mazi gia na dw	egine
395	otan px baloume ki alla pragmata sto sait na xerw pws na to kanw	komple
404	egw to ekana apo to online	auto ?
406	nai ontws den exei link to eida kai egw aaaaa	spitia phgame
409	eginee	ela xwrio
416	exoun paei oi alles h oxi akoma 	phgan
418	pou einai 	rwmaikh agora
421	xerw gw re file pame gia kamia retsina den einai gia tipota parapanw pantws eimai tha eimaste kata tis spitia basika h oxi 	nai r sigoura
426	na erthw apo esena 	nai dn exw amaxi
431	komple na xekinhsw re 	oxii miso
435	erxomai kateba you missed a call from mixalhs . https www .kampragos .com display powertech hdmi vga audio jack white m .html ?skr prm wyi mmflytdlzs zmdfjltrmndatyja ny hndvjndvjmmm ymiilde mzezntu otc mzcseyjhchbfdhlwzsi indlyiisimnwijoiziisinrhz mioiiifv to brhka se ena magazi sth balmada tha paei na dei se ligo h aderfh mou an to exei na to parei	molis to phre p baggelhs
441	aaaa komple	 eurw
443	xaxaxaxaxaxa ti les re mlk	paizei na einai to idio
445	na pame na doume an to exei sth balmada kai ton pou me oti den kanei na to pame pisw 	kleinei 
0	xaxaxaa https vm .tiktok .com zsx arqs 	online class sucks
3	giati exoun kanei oloi oi cringeades embrace tis mpoukles toys tis exoun katastrepsei sta matia moy 	k
6	ok boomer xoxoxixi	to vazw story
9	exeis ginei boomer	aintee
11	kopse parea me fxs	einai cringe ?
13	ligo a caza d irene	exeis dei pio omorfo fouter ?
16	nai	psema
19	xaxaxa	 
21	ti simainei afto emena den to vgazei	poor samsung boi
24	xiaomi	xiaomi
26	 ? ? ? ? ? ? ? ?	fu
28	 	omg sex
31	tldr to diavasa itan worthy klaiw re mlk epsaxe kai nomo	ela mh klais
35	eseis se ti fash lokntaoun eiste . i .	s poulaw ta airpods
38	den exw aifon	dn exei sxesh
40	 ta pairnw xaaxxaxaxaaxaxaaxa gold i wish esi https vm .tiktok .com zsxumx c 	true
46	prwta tin cocacola	https youtu .be nzdhm ou 
50	 	aspro h mauro
52	mauro	phra to aspro
54	pozeriko appleboy	dekto
57	 . . . . .	na to valw story
59	apo mena einai oxi	ntaxei tha balw to pc otan einai etoimo
65	giati flexarete ta lefta sas pote den to katalava vlepeis kapoio antikeimeno pou den blepw ? naiss	steile ligo to netflix
70	psaksto sti sinomilia dn to exw efkairo	 . . .
74	xaxaxaaxxaaxa re vlk variesia na to psakseis kai vazeis emena na to psaksw ? misogynist se sena arezan markria ? https vm .tiktok .com zssrrftq 	ye
79	oo ti se ekane	she cuted short 
81	esi pires meros	cringe
83	ksereis kana kalo oikonomiko laptop ?	 hmm
85	xmmm	paizw twra dn mporw
87	xaaxaxaxaxa kala meta	mexri posa lefta
90	koita den thelw akraia pragmata apla na mhn kollaei otan mpainw zoum kai kanw k alla pragmata tautoxrona k exw kai obs pisteueis mporw na to brw gyrw sta auto ? exw ena skatohp eurwb tbra k kollaei kai em neuriazei a kai kalh mpataria	nai mporeis
96	axa axa	https www .e lenovo .gr lenovo ideapad fullhd ryzen gb ssd w grey .html ?skr prm wyi ytzlyzgyzs kodvkltq mjmtodhkny jmjrhnmi ntaxmdmilde mdg ndu njmxntiseyjhchbfdhlwzsi indlyiisimnwijoiziisinrhz mioijsby sbmhzin d
103	xaxaxaxaxaxaxa	kai xwris fpa pou thes esy 
106	teleia antoinne se efxaristw poliiii	tpt
108	an dwsw ta idia lefta k parw pc pisteveis tha einai kltra ?	stathero
112	nn	thes othones
114	les laptop e	plhktrologia
116	ontws	pontikia
120	o aderfos mou exei pisara pou den th xrhsimopoiei kai den mou thn dinei 	einai san sou dinei th gkomena tou
123	xaxaxaxaxxa	me ta idia lefta ftiaxneis kautero systhma ap to laptop
128	skeftomoun na exw to ps spiti gia tis douleies m k na krathsw auto to psiloargo laptop gia na to metafero w alla gama to	an dn thes na paizeis dn exeis logo gia stathero
134	exei kalytero baimp to stathero einai pio cozy	exei workstation vibe
138	isxii to laptop to pairneis kainsto krevati einai peirasmos kai koyrazei pou thelei fortisi	pantws egw eixa metatrepsei to laptop m se desktop
144	to eixes sinexeia sti mpriza ?	kai eixa syndesei othonh plhktrologio pontiki
147	auto psaxnw twra dn einai kako gia to laptop auto ?	ama bgaleis th mpataria oxi
151	 ontws ama thelw na kratisei pio poli i mpataria apo to laptop einai eksipno na tin vgalw k na tin vazw opote paw allou i einai mlkia na tin exw poli kairo axrisimopoiiti ? teach me sensei	nomizw mporeis na thn exeis kairo eksw
162	hmmm tha kanw to research mou thank u	alla gia pc desktop dn eisai
167	mporei na ginw gamer girl kai na kanw stream uwu	helena live fash
172	xaxaxaxa	kalh xronia
174	axxaxaxaa h kalyterh euxh	dn katalava
177	popi lambrou famous afto einai to context	goodjob
181	einai kakoulhs	gt
183	gt anoige ta ergostasia tou en mesw karantinas k eipe oti opoios fobatai as mhn paei k meta apo ligo kairo tous apelyse	kaneis dn paei mprosta me ton stauro xeri
187	sofoi kala isxyei alla pali einai ka koulhs me xenerwse ligo gelaw me to autocorrect hrthe ti free antivirus na valw	ooo megeia
197	thank uuu	exoun ta windows
199	 o nice na nai kala k to apth tzampa office eixes rwtisei ton tsakwna ti laptop na parw kai den sarese ?	ahahhaha
211	betrayal	gt hxera oti epsaxne k autos prin ligo kairo gia mia
215	mhnyma sorry	kai epsaxa monos mou
217	xaxacaxaca	kai brhka auto
223	phra k pontikaki asyrmato	teknolotzi
226	exei na anoigei k na kleinei b kamera	sekiouriti
228	mono k mono gia auto mou arese xaxaxaxa e exw emfanistei perissoterss fores ap oti tha eprepe sto zoum katelhxa na kollaw maurh tainia mprosta anxiety ta blhmata den ebazan epilogh na fainomai h oxi fysika to ekleina kateutheian alla an to xexnoun kamia fora sa	exeis dei to binteo me ekeinon pou ton epaize
242	xaxaxaxaxaxaxa oxi	tha krintzarei h psyxoula sou
246	exw dei na gamiountai kai na fainetai dn paizei na to brw	to xw dei
249	entaxei egw fainosoun gia miso deuterolepto moun opws sxedon oloi	auto pou gamiountai
256	poios einai autos o dhmhtrhs ton kahmeno reee ektos an to ekane epithdes akouei	nai
261	epeidh ta exw grapsei fores pare skrinsot twra ton ebgala etsi pali	pata ekei
266	nai re apla paizw ena binteo apo sklhro to kleinw paw na kanw exagwgh kai leei oti paizei akoma mou to exei bgalei se ps mia fora pathsa na paixei binteo apothhkeumeno sto pisi kai egine asfalhs katarghsh shmera pou ekana to idio den egine	mia lysh einai panta na kleineis to pc
280	less nomiza oti dn einai seif etsi auto tha kanw thenks anastolh ?	dexi klik sth fatsa sou
292	klaiw pou exeis th fatsa sou . . . to task manager pws to anoigeis	ctrl alt del
296	a to ekana	diaxeirish
299	grazie antonio eemp meta tis kouvertoules sto dimotiko tha kkanei aftos diasimi ti xalastra mas kalo	e
307	no idea	https www .youtube .com watch ?v e vadsxqng ab channel karaitheg
309	pou ton xerw auton me to xantho ? r mlk h elena akoma me ton arxhgo asxoleitai ?	yes
312	poios einai autos p xoreuei	philistrife
315	a power of lov e na p ton kserw itan meme alla dn thimamai gt gnwmoula ?	legit
322	axxaaxaxxaaxaxa ti faah sh ti fasi eipa	a dn kserw
330	loooooool	kai prepei na exoun trelanei ton kathigith
332	ti kikloforei sta ellinika panepistimia re mlk eleniigli	ooo th paradosiakh gunaika
336	xaxaxaxaxaxaxa	you sent an attachment .
339	efxaristoume niko	tzampas pethane
341	xaxaxaxax kai pou xeroun re refygeremlkapodwrebro sas katourame	diko sou einai ?
346	perimenw th zwh . . . akoma . . . . . . .	r thelw na kanw post
353	giati re mlk siga ti cringareis egw eixa grapsei eixame brei kai mas kremase teleutaia stigmh kai psaxname ktel tragiko pou den ebalan xenofonphotography photography 	einai wraia fwtografia
363	na dialegan mia dikia tou	support your local artists
366	 an kai leei gia emas ya koritsia mporei na se voithisei	ahahhaahhah
370	thelei ligh xartoura katse na rwthsw smarw mou eipe oti de xreiazetai para pollh xartoura alla thelei na perimeneis ligo kai den xreiasthke na perimenei katholou ston erriko	errikos lamogio
374	xaxaxaxax top anime plot twists tha pioume kana kofi re pote fevgeis	tha katsw
380	aa tha katseiiis	opa
384	xaxaaxaxx eisai idio s	hahahahha
389	kalh arxh eipame ?	ante me thn eulogia tou theou
394	o mpampas tou einai poly kalos ematha eixe sklabous sta oryxeia	f
397	 .	h katara energopoihthhke
400	xaxaxaxxaxaxaxaxaa xaxaxaxaxxaxaa fellas in chalastra . i .	sry
407	noo salonique	ompoo
411	xsxsxsxsxsxzpsa h oikogeneia kalogiannh ? ? h moira ?	dn tha hksere pws na valei h fwto sth zwgrafikh
416	tempelhdes pate thalassa ? katarxas kollhse to binteo kai exasa poly shmantika point epishs o boudourhs einai autos etsi ? o boudourhs pou ebale fwtia ston kado sto lykeio	nai autos
425	xaxaxaxaxaxaa isxyei re file ti spoudazei autos o etos kiolas tempelhs	se ena idiwtiko kollegio einai
432	xaxaxaxaxaxxaxaxaxa esy den ekanes parea me auton	prin ginei hlithios
437	xacaxaxaa panta hlithios htan	katerina feugw
440	kali thiteia ! ! ! ! 	boomer destroyed
446	krhtiko kafeneio sth benizelou einai tlk oxi agias mlkies elega	auto nai
452	patra den eisai re e ta eixa xexaseo	dn proteineis me poiothta
455	hmoun apasxolhmenh alllouou	auto pou akougetai sto binteo einai h karekla
458	ase twra rebythia efages to meshmeri ?	esu asteiopita ?
464	xaxaxa e sori alla den paizei na breis thes kai fai ? athwnos exei magazakia me fai wraia ouzo ston pinaka klp des stous xartes meta exei ekei sth benizelou	hrthame sto agora
476	xaxaxaxa synhthws to antitheto ginetai	nai kala
480	 . . .	e
486	katarxas mazeuei prwtoeta den exw paei apo o etos	wpa eee
493	naii kaloo	ekleisa ekei
498	rwta me xaxaxaxa apo ola . mazeuei den einai foul foithtokosmos	ok
507	agkwnia kai gonatia pantou des sxolia	https www .youtube .com watch ?v k uoa e t s ab channel lubentv
512	re mlk daxadadaxa xaxaxax https vm .tiktok .com zmetpwpt 	ahhahahaha
520	filarakia 	dialegw j j
522	xereis hlexyomagnhtismo ?	to thema einai polu eukolo
528	ippopotamos abyshnia colombia top colombia mpyra mikrh de briskeis tepo na katseis basika pate kai opou breite ginetai xamos oantou alla brexei re blhm	stamata r ola ra xereis
535	plaka tha exei na erthete mexri edw kai na brexei	pws legetai to koloumpia
538	colombia gaw gamw pane pitsa chris kai aneva olo panw tha to vreis etsi opws koitas tin pitsa chris ton deksi dromo aneva apo tin aristeri plevra tis rotontas olo panw tha vreis tin pitsa chris kai opws tin vlepeis pare ton deksi dromo	katalava
549	alliws ipopotamo einai wraia kai meta rastwni kai tetoia	e
552	tzamala anoikse smr nmz otk	gia poto
556	de tha breite pote ti poto re sourgelo 	ahahahha
559	kathista einai ola	sthn aiglh
562	oooo kali fasi den kserw exw paei mia fora se trap party opote katalavaineis ti eixe	katalaba
567	en mesw covid den piga katholou alla stis foto kala fainetai an thelete cocktail kai to whope einai poli wraio	kleisto
573	i tzamala einai fasi krasia oxi poto giati xiemwniatiko se stoa einai alla fen paizei na vreite edw prin ton covid den evriskes kathimerines oxi savvato me to pou anoikse	k pti ginei
580	poiu pou 	aiglh
585	antwnh agaph mou ela pare me apo dw to kykloforhsan ontws auto to prama re mlk apisteuto	sad
590	den ntrepontai na ta vgaloun afta ta statistika re malak	mpes diabase euxoules
592	pwww den asxoloumai kan gtxt	otan mathaineis oti skotwse th gynaika tou
597	malaka isxiei oxi oti de me enoiakse gia tin kopela profanws alla mou fainetai poli akraio oti skeftike na kremasei ton skilo gia na kalipsei afto pou ekane	frikman
602	 . . . . at least sovaros	ahahhahahah
606	xaxaxaxxaxaxaa o allos apo katw ti soap bruh re malaka jeez cancelled	e mikroi eimastan
612	xaxaxxaxaxa	auto hthela na steilw vsk
614	tsakalia	pali kala dn evale topothesia
616	re malaka proxthes eida ton tsouli ekei pou doulevei kai kontepsa na min ton gnwrisw	ton xairrethses ?
619	badtrip nai basika autos me xairethse	se goustarei
622	xaxaxaxaxxa	me th maska pou na ton katalabeis
625	nai re mlk paraggelnw mou leei nai katerina lew poios eisai katebazei th maska	frikh
631	kai sthn arxh den ton katalawa lew wx poios einai that s her lifestyle xadaaxaxaa krivw tis trixes mou malaka mou thimizei full latinopoulou	sigoura htan to eidwlo ths
642	caxacaxaxa	r vlepw stories apo thalassa
647	kai apo thalassa kai apo eksw o koronoios exei skotosei tin psixi mou	vsk oxi zhlepsa kati
650	i psixi mou einai dead ta drugs einai pio cool apo esena babe ti zilepses re malaka den ntrepetai	kratane apostaseis omws
659	skepsou oti o mesos parevriskomenos itan san tin velkou kai tha sou figeu	leftades eixe sigoura
663	se magazi ?	oxi
665	einai afto	se paralia
667	xmm kai den anoigoun to poseidi na min perasoyme ligo kala oi plempes	ahahhah
671	gt xm	tha anoixei r
674	no	etsi me eipe h zwh
676	eixan pei tha anoixei kai to phran pisw den xerw ti euxoules na dwsw damn tha mpw filaki egw exw smooth derma bietch	ok
682	old	akous
688	fasaioi pan kampingk antiparo ap oso xerw alla den xerw kapoion pou na exei paei ti na einai gia fxs mwre vlakes	e
697	idk shmera hrthan gia benzinh kalogiannhs xenofwn epishs mh zhleueis ta gkeins tou kyriakou	poion kyriako r
703	xaxsxa exei hlio nomiza o kyriakos xaxaxaxa den eida fatsa autos den htan filos sou ?	 
713	left antres me koilitsa auth h triada fwtia hrthe k ebale benzinh	e
721	xaxaxaxxaxaxxaxaa	ahahhahah
724	tzampa diakopoulees	e nai
738	xxaxaxaxaxxaxaxaxaxaxxaxaaxxacaa de tha sou xanamilhsei pote poio tha kaneis	r dn xerw
743	e kane ereuna re mlk egw tha paw diabata pou exei pfizer	 doseis exw opote logika pfizer
747	kai moderna kai astra exoun to astra phre mpoulo ?	dn exw idea
755	genika den polylene sto internet allaxe to k bale diabata pou exei pfai	tlk ebala diabata gt ekei pou htan na paw pane mono gyftoi kai prezakia
758	xaxaxxaxaxaxaxxa pou to xereis blk	to eipe h euagelia sth mana m kai thn eipe na paw allou
764	giati dhlwses ekei esy rantoma	eixa dei auth th fwto
768	xaxaxxa mlk ti phges kai dhlwses ekanes embolio ? pote tha pas diakopes ? re mlk pleon den mporeis na anebeis se ploio apla me self test thelei h pistopoihtiko eboliasmou h pcr h rapid gamw to spiti tous kai twra psaxnw na brw johnson s paizei na xereis piy kanoun ?	tha rwthsw th thwmh
